profile_id,source_section,raw_keyword,context_text
2150e7f0-9348-4733-b56a-600d219f5a78,experience,"Co-founded and led Ferdows Golestan Ghaboos, an NGO dedicated to supporting education for underprivileged children, particularly Afghan refugee families in Iran. -Organized fundraising efforts and distributed over 2,500 aid packages, including school supplies and essentials, to children from low-income families. -Provided free tutoring, counseling, and resources to help children continue their education, especially after the Zemestan-Yurt coal mine disaster, which left 100 children without a parent. -Honored by the President of Iran and the Welfare Organization in 2018 for impactful contributions to the community. -Developed leadership and interpersonal skills, managing a diverse team and fostering a culture of inclusion and support for disadvantaged groups",Research Trainee
855929b9-766b-4077-97ce-9ea170a67b85,about,As a Software Developer & Data Scientist specializing in health tech,"As a Software Developer & Data Scientist specializing in health tech, I build scalable, production-grade software that seamlessly integrates advanced AI and machine learning capabilities into clinical workflows. Currently developing robust software systems at the University of Calgary, my expertise lies at the intersection of full-stack software architecture and applied AI. I focus on transforming complex clinical datasets and Electronic Health Records (EHR) into reliable, high-performance applications that improve patient outcomes. Key Highlights & Expertise: -AI-Applied Software Engineering: Architected an end-to-end clinical risk prediction application, integrating fine-tuned Transformer models (Bio-BERT/ClinicalBERT) via PyTorch directly into secure, cloud-native software microservices. -Cloud Architecture & MLOps: Experienced in designing scalable backend infrastructure on AWS (ECS, EKS, SageMaker) using Docker and robust CI/CD pipelines to ensure efficient, low-latency model inference in production. I hold a Master's in Software Engineering, providing me with a deep foundation in algorithm design, object-oriented programming, and scalable systems. I am passionate about modern software craftsmanship, currently expanding my focus into building robust deployment pipelines for clinical LLMs and implementing Explainable AI (XAI) frameworks within software user interfaces. Always open to connecting with fellow engineers, architects, and innovators building the future of health tech."
855929b9-766b-4077-97ce-9ea170a67b85,about,I build scalable,
855929b9-766b-4077-97ce-9ea170a67b85,about,production-grade software that seamlessly integrates advanced AI and machine learning capabilities into clinical workflows,
855929b9-766b-4077-97ce-9ea170a67b85,about,Currently developing robust software systems at the University of Calgary,
855929b9-766b-4077-97ce-9ea170a67b85,about,my expertise lies at the intersection of full-stack software architecture and applied AI,
855929b9-766b-4077-97ce-9ea170a67b85,about,I focus on transforming complex clinical datasets and Electronic Health Records (EHR) into reliable,
855929b9-766b-4077-97ce-9ea170a67b85,about,high-performance applications that improve patient outcomes,
855929b9-766b-4077-97ce-9ea170a67b85,about,Key Highlights & Expertise,
855929b9-766b-4077-97ce-9ea170a67b85,about,AI-Applied Software Engineering,
855929b9-766b-4077-97ce-9ea170a67b85,about,Architected an end-to-end clinical risk prediction application,
855929b9-766b-4077-97ce-9ea170a67b85,about,integrating fine-tuned Transformer models (Bio-BERT/ClinicalBERT) via PyTorch directly into secure,
855929b9-766b-4077-97ce-9ea170a67b85,about,cloud-native software microservices,
855929b9-766b-4077-97ce-9ea170a67b85,about,Cloud Architecture & MLOps,
855929b9-766b-4077-97ce-9ea170a67b85,about,Experienced in designing scalable backend infrastructure on AWS (ECS,
855929b9-766b-4077-97ce-9ea170a67b85,about,EKS,
855929b9-766b-4077-97ce-9ea170a67b85,about,SageMaker) using Docker and robust CI/CD pipelines to ensure efficient,
855929b9-766b-4077-97ce-9ea170a67b85,about,low-latency model inference in production,
855929b9-766b-4077-97ce-9ea170a67b85,about,I hold a Master's in Software Engineering,
855929b9-766b-4077-97ce-9ea170a67b85,about,providing me with a deep foundation in algorithm design,
855929b9-766b-4077-97ce-9ea170a67b85,about,object-oriented programming,
855929b9-766b-4077-97ce-9ea170a67b85,about,and scalable systems,
855929b9-766b-4077-97ce-9ea170a67b85,about,I am passionate about modern software craftsmanship,
855929b9-766b-4077-97ce-9ea170a67b85,about,currently expanding my focus into building robust deployment pipelines for clinical LLMs and implementing Explainable AI (XAI) frameworks within software user interfaces,
855929b9-766b-4077-97ce-9ea170a67b85,about,Always open to connecting with fellow engineers,
855929b9-766b-4077-97ce-9ea170a67b85,about,architects,
